,맥주이름,년,평점
213,Cass Fresh, 2004,1.5625
214,Cass Fresh, 2005,1.5250000000000001
215,Cass Fresh, 2006,1.7538461538461538
216,Cass Fresh, 2007,1.575
217,Cass Fresh, 2008,1.4333333333333333
218,Cass Fresh, 2009,1.5727272727272728
219,Cass Fresh, 2010,1.3857142857142857
220,Cass Fresh, 2011,1.45
221,Cass Fresh, 2012,1.7999999999999998
222,Cass Fresh, 2013,1.8214285714285714
223,Cass Fresh, 2014,1.7791666666666668
224,Cass Fresh, 2015,1.9000000000000001
225,Cass Fresh, 2016,1.7685714285714285
226,Cass Fresh, 2017,1.8642857142857143
227,Cass Fresh, 2018,1.912
228,Cass Fresh, 2019,1.9600000000000002
229,Cass Fresh, 2020,1.9714285714285715
230,Cass Fresh, 2021,1.6333333333333335
231,Castlemaine XXXX Gold Lager, 2000,2.2
232,Castlemaine XXXX Gold Lager, 2001,2.15
233,Castlemaine XXXX Gold Lager, 2002,2.4214285714285713
234,Castlemaine XXXX Gold Lager, 2003,1.64375
235,Castlemaine XXXX Gold Lager, 2004,1.6454545454545455
236,Castlemaine XXXX Gold Lager, 2005,1.6846153846153848
237,Castlemaine XXXX Gold Lager, 2006,1.4666666666666668
238,Castlemaine XXXX Gold Lager, 2007,1.65625
239,Castlemaine XXXX Gold Lager, 2008,2.085714285714286
240,Castlemaine XXXX Gold Lager, 2009,1.83
241,Castlemaine XXXX Gold Lager, 2010,1.9125
242,Castlemaine XXXX Gold Lager, 2011,1.26
243,Castlemaine XXXX Gold Lager, 2012,1.5125
244,Castlemaine XXXX Gold Lager, 2013,2.390909090909091
245,Castlemaine XXXX Gold Lager, 2014,1.4933333333333332
246,Castlemaine XXXX Gold Lager, 2015,1.9
247,Castlemaine XXXX Gold Lager, 2016,2.7875
248,Castlemaine XXXX Gold Lager, 2017,2.15
249,Castlemaine XXXX Gold Lager, 2018,1.625
250,Castlemaine XXXX Gold Lager, 2019,2.98
251,Castlemaine XXXX Gold Lager, 2020,2.3400000000000003
252,Castlemaine XXXX Gold Lager, 2021,2.75
253,Desperados, 2002,1.8277777777777777
254,Desperados, 2003,1.5499999999999998
255,Desperados, 2004,1.2526315789473685
256,Desperados, 2005,1.3559999999999999
257,Desperados, 2006,1.4255813953488372
258,Desperados, 2007,1.8105263157894738
